n:39 mse_avg:9.07 mse_y:12.89 mse_u:1.32 mse_v:1.52 psnr_avg:38.56 psnr_y:37.03 psnr_u:46.94 psnr_v:46.31 
n:40 mse_avg:9.07 mse_y:12.89 mse_u:1.31 mse_v:1.52 psnr_avg:38.56 psnr_y:37.03 psnr_u:46.95 psnr_v:46.32 
n:41 mse_avg:9.07 mse_y:12.89 mse_u:1.31 mse_v:1.51 psnr_avg:38.56 psnr_y:37.03 psnr_u:46.96 psnr_v:46.33 
n:42 mse_avg:9.07 mse_y:12.89 mse_u:1.31 mse_v:1.51 psnr_avg:38.56 psnr_y:37.03 psnr_u:46.96 psnr_v:46.33 
n:43 mse_avg:9.05 mse_y:12.88 mse_u:1.31 mse_v:1.51 psnr_avg:38.56 psnr_y:37.03 psnr_u:46.96 psnr_v:46.33 
n:44 mse_avg:9.06 mse_y:12.88 mse_u:1.31 mse_v:1.51 psnr_avg:38.56 psnr_y:37.03 psnr_u:46.96 psnr_v:46.33 
n:45 mse_avg:9.06 mse_y:12.88 mse_u:1.31 mse_v:1.51 psnr_avg:38.56 psnr_y:37.03 psnr_u:46.96 psnr_v:46.34 
n:46 mse_avg:9.06 mse_y:12.88 mse_u:1.31 mse_v:1.51 psnr_avg:38.56 psnr_y:37.03 psnr_u:46.97 psnr_v:46.34 
n:47 mse_avg:9.06 mse_y:12.88 mse_u:1.31 mse_v:1.51 psnr_avg:38.56 psnr_y:37.03 psnr_u:46.97 psnr_v:46.34 
n:48 mse_avg:9.06 mse_y:12.88 mse_u:1.31 mse_v:1.51 psnr_avg:38.56 psnr_y:37.03 psnr_u:46.97 psnr_v:46.34 
n:49 mse_avg:9.05 mse_y:12.87 mse_u:1.30 mse_v:1.50 psnr_avg:38.56 psnr_y:37.03 psnr_u:47.00 psnr_v:46.36 
n:50 mse_avg:9.05 mse_y:12.87 mse_u:1.30 mse_v:1.51 psnr_avg:38.56 psnr_y:37.03 psnr_u:47.00 psnr_v:46.35 
n:51 mse_avg:8.67 mse_y:12.29 mse_u:1.33 mse_v:1.53 psnr_avg:38.75 psnr_y:37.24 psnr_u:46.90 psnr_v:46.29 
n:52 mse_avg:8.71 mse_y:12.35 mse_u:1.33 mse_v:1.53 psnr_avg:38.73 psnr_y:37.21 psnr_u:46.90 psnr_v:46.28 
n:53 mse_avg:8.71 mse_y:12.35 mse_u:1.32 mse_v:1.53 psnr_avg:38.73 psnr_y:37.21 psnr_u:46.92 psnr_v:46.30 
n:54 mse_avg:8.71 mse_y:12.37 mse_u:1.28 mse_v:1.53 psnr_avg:38.73 psnr_y:37.21 psnr_u:47.05 psnr_v:46.30 
n:55 mse_avg:8.80 mse_y:12.49 mse_u:1.29 mse_v:1.54 psnr_avg:38.69 psnr_y:37.17 psnr_u:47.02 psnr_v:46.25 
n:56 mse_avg:8.86 mse_y:12.57 mse_u:1.29 mse_v:1.56 psnr_avg:38.66 psnr_y:37.14 psnr_u:47.01 psnr_v:46.19 
n:57 mse_avg:8.94 mse_y:12.69 mse_u:1.29 mse_v:1.55 psnr_avg:38.62 psnr_y:37.09 psnr_u:47.03 psnr_v:46.22 
n:58 mse_avg:8.95 mse_y:12.71 mse_u:1.29 mse_v:1.55 psnr_avg:38.61 psnr_y:37.09 psnr_u:47.01 psnr_v:46.22 
n:59 mse_avg:8.99 mse_y:12.77 mse_u:1.28 mse_v:1.58 psnr_avg:38.59 psnr_y:37.07 psnr_u:47.05 psnr_v:46.16 
n:60 mse_avg:8.98 mse_y:12.76 mse_u:1.26 mse_v:1.56 psnr_avg:38.60 psnr_y:37.07 psnr_u:47.12 psnr_v:46.20 
